SMILES,Density,Source,Confidence
*CC(CCCCCCCCCC)O*,0.862,GREA,0.5
*CCCCCCCCc1nnc(*)o1,1.21,GREA,0.5
*CCCCCCCCCc1nnc(*)o1,1.28,GREA,0.5
*CCCCCCCCCCc1nnc(*)o1,1.22,GREA,0.5
*c1ccc(Oc2ccc(-c3nnc(*)o3)cc2)cc1,1.3075,GREA,0.5
*c1ccc(C2(c3ccc(-c4nnc(*)o4)cc3)OC(=O)c3ccccc32)cc1,1.3195,GREA,0.5
*Oc1ccc(S(=O)(=O)c2ccc(-c3ccc(S(=O)(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,1.26,GREA,0.5
*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,1.329,GREA,0.5
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)cc1,1.317,GREA,0.5
*CC(CC)(CC)CO*,1.04,GREA,0.5
*CC(O*)C(C)C,1.025,GREA,0.5
*CCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.3,GREA,0.5
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,1.5,GREA,0.5
*c1ccc(Oc2ccc(-c3cc(-c4ccccc4)c4cc(Oc5ccc6nc(*)cc(-c7ccccc7)c6c5)ccc4n3)cc2)cc1,1.174,GREA,0.5
*CC(C)(CC)CO*,0.966,GREA,0.5
*CC(C)(CO)CO*,1.144,GREA,0.5
*c1ccc2oc(*)nc2c1,1.638,GREA,0.5
*Oc1ccc(C(=O)c2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,1.395,GREA,0.5
*Oc1ccc(-c2ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,1.374,GREA,0.5
*/C=C/c1sc(*)c(OCCCC)c1OCCCC,1.36,GREA,0.5
*Oc1ccc(C(c2ccc(Oc3ccc(C(=O)c4ccccc4-c4ccccc4C(=O)c4ccc(*)cc4)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.307,GREA,0.5
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C(C)(C)C,1.1365,GREA,0.5
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C,1.267,GREA,0.5
*c1c(C)cc(Cc2cc(C)c(N3C(=O)c4ccc(Oc5cccc6c(Oc7ccc8c(c7)C(=O)N(*)C8=O)cccc56)cc4C3=O)c(C)c2)cc1C,1.225,GREA,0.5
*c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)c4)cc3)cc2)c1,1.47,GREA,0.5
*Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(Oc4ccc(C(c5ccc(*)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)c2)cc1,1.63,GREA,0.5
*Oc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(Oc4ccc(C(c5ccc(*)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)cc(C(C)(C)C)c2)cc1,1.55,GREA,0.5
*CC(C[N-][N+]#N)O*,1.29,GREA,0.5
*CCSSSS*,1.46405,GREA,0.5
*CC(C)S*,1.2,GREA,0.5
*CC(S*)C(C)(C)C,1.09,GREA,0.5
*CC(CC)S*,1.093,GREA,0.5
*CC(COCC=C)S*,1.123,GREA,0.5
*CCCS*,1.16,GREA,0.5
*CC(C)(C)CS*,1.098,GREA,0.5
*CCCCS*,1.2,GREA,0.5
*CCCCCS*,1.1725,GREA,0.5
*CCCCCCS*,1.0795,GREA,0.5
*CCCCC(=O)NCc1ccc(CNC(=O)CCCCS*)cc1,1.2005,GREA,0.5
*CCCCCC(=O)NCc1ccc(CNC(=O)CCCCCS*)cc1,1.175,GREA,0.5
*CCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCS*)cc1,1.157,GREA,0.5
*CCCCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCCCS*)cc1,1.127,GREA,0.5
*CCCCC(=O)NCCc1ccc(CCNC(=O)CCCCS*)cc1,1.174,GREA,0.5
*CCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCS*)cc1,1.148,GREA,0.5
*CCCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCCS*)cc1,1.132,GREA,0.5
*CCCCCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCCCCS*)cc1,1.106,GREA,0.5
*c1ccc2nc(*)sc2c1,1.628,GREA,0.5
*c1ccc(-c2nc3cc4sc(*)nc4cc3s2)cc1,1.71,GREA,0.5
*CCOC(=O)C(=O)O*,1.59,GREA,0.5
*CCCOC(=O)CCCC(=O)O*,1.301,GREA,0.5
*CCOC(=O)CCCCC(=O)O*,1.25,GREA,0.5
*CCCOC(=O)CCCCC(=O)O*,1.271,GREA,0.5
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,1.087,GREA,0.5
*CCOC(=O)CCCCCCC(=O)O*,1.237,GREA,0.5
*CCOC(=O)CCCCCCCC(=O)O*,1.172,GREA,0.5
*CCCOC(=O)CCCCCCCCC(=O)O*,1.31,GREA,0.5
*CCCCOC(=O)c1cccc(C(=O)O*)c1,1.309,GREA,0.5
*CCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.2995,GREA,0.5
*CCCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.046,GREA,0.5
*CC1CCC(COC(=O)c2ccc(C(=O)O*)cc2)CC1,1.23,GREA,0.5
*CCCCOC(=O)CCCCC(=O)O*,1.114139901,GREA,0.5
*OC1CCC(OC(=O)CCCCC(*)=O)CC1,1.218,GREA,0.5
*CCOC(=O)c1ccccc1C(=O)O*,1.37925,GREA,0.5
*Oc1cccc(OC(=O)c2cccc(C(*)=O)c2)c1,1.34,GREA,0.5
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)c(C)c2)cc1C,1.167,GREA,0.5
*c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C4(*)OC(=O)c5ccccc54)cc3)cc2)cc1,1.315,GREA,0.5
*CC(=O)O*,1.563,GREA,0.5
*CCCCCCC(=O)O*,1.076,GREA,0.5
*CCCCCCCCCC(=O)O*,1.06775,GREA,0.5
*CCCCCOC(=O)CCCCCC(=O)O*,1.151,GREA,0.5
*CCCCCCOC(=O)CCCCC(=O)O*,1.222,GREA,0.5
*OC(C)CCC(C)OC(=O)CCCCC(*)=O,1.076,GREA,0.5
*CCOC(=O)/C=C/C(=O)O*,1.353,GREA,0.5
*CCCCCCCCCCOC(=O)c1cccc(C(=O)O*)c1,1.034,GREA,0.5
*Oc1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1-c1ccccc1,1.3065,GREA,0.5
*CCCCCCOC(=O)c1cccc(C(=O)O*)c1,1.109,GREA,0.5
*CC1CCC(COC(=O)CCCCC(=O)O*)CC1,1.1655,GREA,0.5
*CCOC(=O)CCCCCC(=O)O*,1.278,GREA,0.5
*Oc1ccc(C(*)=O)cc1,1.48,GREA,0.5
*CCC(=O)O*,1.422,GREA,0.5
*OC(CC(*)=O)C(Cl)Cl,1.675,GREA,0.5
*CC(CC)(CC)C(=O)O*,1.05,GREA,0.5
*CC(C)(C)C(=O)O*,1.21,GREA,0.5
*OC(CC)CC(*)=O,1.24,GREA,0.5
*CC(C)(CC)C(=O)O*,1.1,GREA,0.5
*OC(CC(*)=O)C(C)C,1.155,GREA,0.5
*OC(CC(*)=O)C(Cl)(Cl)Cl,1.81,GREA,0.5
*Oc1ccc(OC(=O)CCCCC(*)=O)cc1,1.287,GREA,0.5
*OC(=C)CC(*)=O,1.38,GREA,0.5
*Sc1ccc(-c2ccc(SC(=O)c3cccc(C(*)=O)c3)cc2)cc1,1.335,GREA,0.5
*CC1CCC(COC(=O)C2CCC(C(=O)O*)CC2)CC1,1.14,GREA,0.5
*CCCCCCCCCCCCOC(=O)c1ccc(C(=O)NCCCCCCCCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,1.176,GREA,0.5
*CCOC(=O)c1ccc(C(=O)NCCCCCCCCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,1.213,GREA,0.5
*CCCCCC(=O)NCCCCCCNC(=O)CCCCCOC(=O)CCCCC(=O)O*,1.135,GREA,0.5
*CCCCCCOC(=O)c1ccc(C(=O)NCCCCCCCCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,1.2155,GREA,0.5
*CCCCCCOC(=O)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,1.2775,GREA,0.5
*CCCCCCOC(=O)CCCCCCCC(=O)O*,1.0233979655,GREA,0.5
*CCCCCCOC(=O)CCCCCC(=O)O*,1.021,GREA,0.5
*CCc1ccc(CCOC(=O)c2ccc(C(=O)O*)cc2)cc1,1.51,GREA,0.5
*CCCCCc1ccc(CCCCCOC(=O)c2ccc(C(=O)O*)cc2)cc1,1.24,GREA,0.5
*CCCCc1ccc(CCCCOC(=O)c2ccc(C(=O)O*)cc2)cc1,1.35,GREA,0.5
*CCCc1ccc(CCCOC(=O)c2ccc(C(=O)O*)cc2)cc1,1.31,GREA,0.5
*Oc1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1,1.39,GREA,0.5
*CCCCOC(=O)CCCCCCCC(=O)O*,1.1087,GREA,0.5
*CCCOC(=O)c1cccc(C(=O)O*)c1,1.207,GREA,0.5
*CC(C)(C)COC(=O)CCC(=O)O*,1.1427185245,GREA,0.5
*Cc1ccc(COC(=O)c2ccc(C(=O)O*)cc2)cc1,1.4,GREA,0.5
*Oc1ccc(-c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,1.39,GREA,0.5
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cccc(C(*)=O)c3)c(C)c2)cc1C,1.198,GREA,0.5
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3cccc(C(*)=O)c3)c(C)c2)cc1C,1.1215,GREA,0.5
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(C)(CC)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,1.14,GREA,0.5
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3ccc(C(*)=O)cc3)c(C)c2)cc1C,1.1135,GREA,0.5
*Oc1ccc(C2(c3ccc(OC(=O)c4ccc(C(*)=O)cc4)cc3)c3ccccc3-c3ccccc32)cc1,1.376,GREA,0.5
*Oc1ccc(C(c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.4041,GREA,0.5
*CCCCCCCCCCCCOC(=O)c1cccc(C(=O)O*)c1,1.008,GREA,0.5
*OC1CCC(OC(=O)CCCCCCCCC(*)=O)CC1,1.136,GREA,0.5
*CCOC(=O)c1ccc(C2(C)CC(C)(C)c3ccc(C(=O)O*)cc32)cc1,1.19,GREA,0.5
*CCC(=O)N*,1.36,GREA,0.5
*CCCCCNC(=O)CCCCC(=O)N*,1.14,GREA,0.5
*CCCCCCNC(=O)CCCCCC(=O)N*,1.135,GREA,0.5
*CCCCCCNC(=O)CCCCCCC(=O)N*,1.143,GREA,0.5
*CCCCCCNC(=O)CCCCCCCC(=O)N*,1.1035,GREA,0.5
*CCCCCCNC(=O)CCCCCCCCCCC(=O)N*,1.06,GREA,0.5
*CCCCCCCNC(=O)CCCCC(=O)N*,1.1135,GREA,0.5
*CCCCCCCNC(=O)CCCCCC(=O)N*,1.108,GREA,0.5
*CCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,1.35,GREA,0.5
*CCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,1.01,GREA,0.5
*CCCNC(=O)CCCCC(=O)NCCCN(*)C,1.12,GREA,0.5
*CCCCP(C)(=O)CCCNC(=O)CCCCC(=O)N*,1.15,GREA,0.5
*CCCP(C)(=O)CCCNC(=O)CCCCC(=O)N*,1.2,GREA,0.5
*CCCP(CCCNC(=O)CCCCC(=O)N*)c1ccccc1,1.16,GREA,0.5
*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCC(*)=O)CC2)CC1,1.05,GREA,0.5
*CCc1ccc(CCNC(=O)CCCCCCCCCCCCCCC(=O)N*)cc1,1.077,GREA,0.5
*CCc1ccc(CCNC(=O)CCCCCCCCCCCCC(=O)N*)cc1,1.091,GREA,0.5
*CCc1ccc(CCNC(=O)CCCCCCCCCC(=O)N*)cc1,1.108,GREA,0.5
*CCc1ccc(CCNC(=O)CCCCCCCCC(=O)N*)cc1,1.139,GREA,0.5
*Nc1ccc(-c2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)cc1,1.52,GREA,0.5
*Nc1ccc(Cc2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)cc1,1.28,GREA,0.5
*CCCCCCNC(=O)CCC(C)CC(=O)N*,1.094,GREA,0.5
*CCCCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,1.152,GREA,0.5
*Cc1ccc(CNC(=O)CCCCCCCCCCC(=O)N*)cc1,1.129,GREA,0.5
*Cc1ccc(CNC(=O)CCCCCCCCCCCCCC(=O)N*)cc1,1.09,GREA,0.5
*Cc1ccc(CNC(=O)CCCCCCCCC(=O)N*)cc1,1.1605,GREA,0.5
*Cc1ccc(CNC(=O)CCCCCCCCCCCC(=O)N*)cc1,1.108,GREA,0.5
*Cc1ccc(CNC(=O)CCCCCCCCCC(=O)N*)cc1,1.13,GREA,0.5
*NC(C)(C)CC(*)=O,1.11,GREA,0.5
*Nc1cccc2c(NC(=O)c3cccc(C(*)=O)c3)cccc12,1.34,GREA,0.5
*Nc1cccc2c(NC(=O)c3ccc(C(*)=O)cc3)cccc12,1.38,GREA,0.5
*CCCCCCCCCCCCCCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,1.036,GREA,0.5
*CCCCCCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,1.08,GREA,0.5
*Nc1cccc(NC(=O)c2cccc(C(*)=O)c2)c1,1.38,GREA,0.5
*Nc1ccc(NC(=O)c2cccc(C(*)=O)c2)cc1,1.331,GREA,0.5
*Nc1cccc(NC(=O)c2ccc(C(*)=O)cc2)c1,1.36,GREA,0.5
*Nc1ccc(NC(=O)c2ccc(C(*)=O)cc2)cc1,1.45,GREA,0.5
*Nc1ccc(-c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,1.46,GREA,0.5
*CCCCCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,1.152,GREA,0.5
*Nc1ccc(Cc2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,1.19,GREA,0.5
*CCCCCCCCNC(=O)CCCCCCC(=O)N*,1.109,GREA,0.5
*CCCCCCCCCCN1CCN(C(=O)CCCCCCCCC(=O)N2CCN(*)CC2)CC1,0.9709,GREA,0.5
*CCCCCCCCCCNC(=O)CCCCCCCC(=O)N*,0.9867,GREA,0.5
*C(=O)N(*)CCCC,1.035,GREA,0.5
*CC(C)(C)C(=O)N*,1.224,GREA,0.5
*NC(C)CC(*)=O,1.2285,GREA,0.5
*CCCC(C)CC(=O)N*,1.085,GREA,0.5
*CCCCC(=O)N*,1.2,GREA,0.5
*CNC(=O)CCCCC(=O)N*,1.31,GREA,0.5
*CNC(=O)CCCCCCCCC(=O)N*,1.19,GREA,0.5
*CCCCNC(=O)CCC(=O)N*,1.28,GREA,0.5
*CCCCNC(=O)CCCCCCCC(=O)N*,1.127,GREA,0.5
*CCCCCNC(=O)CC(=O)N*,1.233,GREA,0.5
*CCCCCNC(=O)CCCC(=O)N*,1.19,GREA,0.5
*CCCCCNC(=O)CCCCCC(=O)N*,1.1795,GREA,0.5
*CCCCCCNC(=O)CCCC(=O)N*,1.2,GREA,0.5
*CCCCCCCNC(=O)CCCCCCCC(=O)N*,1.0855,GREA,0.5
*CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,1.024,GREA,0.5
*CCCCCCCCCCCCNC(=O)CCCCCCCCC(=O)N*,1.14,GREA,0.5
*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCC(=O)N*,1.024,GREA,0.5
*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*,0.99,GREA,0.5
*Nc1ccc(C(*)=O)cc1,1.515,GREA,0.5
*CCCCCCNC(=O)CCC(=O)N*,1.26,GREA,0.5
*CCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,1.182,GREA,0.5
*CCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,1.151,GREA,0.5
*CCCCCCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,1.13,GREA,0.5
*CCCCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,1.12,GREA,0.5
*CCCCCCCCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,1.095,GREA,0.5
*CCCCCCCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,1.115,GREA,0.5
*CCCCCCCCCCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,1.075,GREA,0.5
*CCCCCCCCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,1.077,GREA,0.5
*CCCCCCCCCCCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,1.067,GREA,0.5
*CC1CCC(CNC(=O)CCCCC(=O)N*)CC1,1.137,GREA,0.5
*Cc1ccc(CNC(=O)CCCCCCCC(=O)N*)cc1,1.152,GREA,0.5
*CCc1ccc(CCNC(=O)CCCCCCCC(=O)N*)cc1,1.14,GREA,0.5
*CCc1ccc(CCNC(=O)CCCCCCCCCCC(=O)N*)cc1,1.108,GREA,0.5
*CCc1ccc(CCNC(=O)CCCCCCCCCCCC(=O)N*)cc1,1.095,GREA,0.5
*Cc1ccc(CNC(=O)CCCCCCCCCCCCC(=O)N*)cc1,1.11,GREA,0.5
*C(=O)C1CC(O)CN1*,1.415,GREA,0.5
*NC(CCCNC(=O)OCc1ccccc1)C(*)=O,1.26,GREA,0.5
*NC(CCCCN)C(*)=O,1.26,GREA,0.5
*C(=O)CNC(=O)C1CCCN1C(=O)C1CCCN1*,1.32,GREA,0.5
*C(=O)CNC(=O)CNC(=O)C1CCCN1*,1.35,GREA,0.5
*NC(CCC(=O)O)C(*)=O,1.42,GREA,0.5
*NC(CCNC(=O)OCc1ccccc1)C(*)=O,1.1875,GREA,0.5
*NC(CC(=O)OCCC)C(*)=O,1.2635,GREA,0.5
*NC(CC(=O)OCc1ccc(Cl)cc1)C(*)=O,1.43,GREA,0.5
*C(=O)C(C)NC(=O)CNC(=O)C1CCCN1*,1.41,GREA,0.5
*C(=O)NCCCCCCNC(=O)c1ccc(*)nc1,1.266,GREA,0.5
*CCCCCCNC(=O)C(=O)N*,1.278,GREA,0.5
*c1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(C4(*)OC(=O)c5ccccc54)cc3)cc2)cc1,1.3,GREA,0.5
*c1ccc(C(=O)Nc2ccc(-c3ccc(NC(=O)c4ccc(C5(*)OC(=O)c6ccccc65)cc4)cc3)cc2)cc1,1.27,GREA,0.5
*c1ccc(NC(=O)c2ccc(C3(c4ccc(C(=O)Nc5ccc(C6(*)OC(=O)c7ccccc76)cc5)cc4)OC(=O)c4ccccc43)cc2)cc1,1.28,GREA,0.5
*c1ccc(NC(=O)c2ccc(C3(c4ccc(C(=O)Nc5ccc(C6(*)NC(=O)c7ccccc76)cc5)cc4)OC(=O)c4ccccc43)cc2)cc1,1.278,GREA,0.5
*NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C(*)=O)C(C)C,1.265,GREA,0.5
*NC(C)C(=O)NC(C)C(=O)NC(C(=O)NC(C(*)=O)C(C)C)C(C)C,1.24,GREA,0.5
*NC(C)C(=O)NCCCC(*)=O,1.215,GREA,0.5
*NC(C)C(=O)NCCCCCC(*)=O,1.16,GREA,0.5
*NC(C)C(=O)NCCC(*)=O,1.275,GREA,0.5
*NC(C)C(=O)NCCCCC(*)=O,1.145,GREA,0.5
*NC(C)C(=O)NC(C(*)=O)C(C)C,1.265,GREA,0.5
*NC(CCC(=O)NCCCCO)C(*)=O,1.21,GREA,0.5
*NC(CCC(=O)NCCO)C(*)=O,1.325,GREA,0.5
*NC(CCC(=O)NCCCO)C(*)=O,1.19,GREA,0.5
